view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,responses,stimulus,key_press,success_time,board_size,board_set,board_no,success,completed
NULL,NULL,sudoku_trial,21,71649,0.0-22.0,NULL,NULL,NULL,NULL,boards2x3,b,0,,1
NULL,NULL,sudoku_trial,22,73033,0.0-23.0,NULL,NULL,NULL,NULL,boards2x3,c,3,,1
NULL,NULL,sudoku_trial,23,74406,0.0-24.0,NULL,NULL,NULL,NULL,boards2x3,b,4,,1
"[{"page_index":0,"viewing_time":2968},{"page_index":1,"viewing_time":868}]",3836,instructions,24,78243,0.0-25.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":534}]",535,instructions,25,78778,0.0-26.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,call-function,13,33559,0.0-15.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":9595},{"page_index":1,"viewing_time":2681},{"page_index":2,"viewing_time":2705},{"page_index":3,"viewing_time":2094},{"page_index":4,"viewing_time":903},{"page_index":5,"viewing_time":5266},{"page_index":6,"viewing_time":966}]",24210,instructions,14,57769,0.0-16.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,1866,html-keyboard-response,15,59636,0.0-16.0-1.0,NULL,"Are you ready to solve a practice Sudoku? <br><br> Yes, I am ready! (Press C) <br><br> Not yet, I would like to read the rules once again, please! (Press R)",67,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,sudoku_trial,16,61894,0.0-17.0,NULL,NULL,NULL,NULL,boards2x3,d,0,,1
"[{"page_index":0,"viewing_time":988}]",988,instructions,17,62882,0.0-18.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,sudoku_trial,18,65054,0.0-19.0,NULL,NULL,NULL,NULL,boards2x3,c,1,,1
NULL,NULL,sudoku_trial,19,68960,0.0-20.0,NULL,NULL,NULL,NULL,boards2x3,a,3,,1
NULL,NULL,sudoku_trial,20,70320,0.0-21.0,NULL,NULL,NULL,NULL,boards2x3,b,2,,1
NULL,NULL,sudoku_trial,21,71649,0.0-22.0,NULL,NULL,NULL,NULL,boards2x3,b,0,,1
NULL,NULL,sudoku_trial,22,73033,0.0-23.0,NULL,NULL,NULL,NULL,boards2x3,c,3,,1
NULL,NULL,sudoku_trial,23,74406,0.0-24.0,NULL,NULL,NULL,NULL,boards2x3,b,4,,1
"[{"page_index":0,"viewing_time":2968},{"page_index":1,"viewing_time":868}]",3836,instructions,24,78243,0.0-25.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":534}]",535,instructions,25,78778,0.0-26.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":2008},{"page_index":1,"viewing_time":1136},{"page_index":2,"viewing_time":974},{"page_index":3,"viewing_time":947}]",5066,instructions,0,5067,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2673,survey-multi-choice,1,7744,0.0-1.0,"{"Q0":"I agree to participate in this research study"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":1006},{"page_index":1,"viewing_time":1016}]",2022,instructions,2,9766,0.0-2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3531,survey-multi-choice,3,13299,0.0-3.0,"{"Q0":"Yes, I solved Sudoku once or twice"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3711,survey-multi-choice,4,17013,0.0-5.0,"{"Q0":"Undergraduate degree (e.g., BA)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,6461,survey-text,5,23476,0.0-6.0-0.0,"{"Q0":"Biochemistry"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,5196,survey-multi-choice,6,28675,0.0-9.0,"{"Q0":"Undergraduate degree (e.g., BA)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2743,survey-multi-choice,7,31420,0.0-10.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,4635,survey-multi-choice,8,36058,0.0-11.0,"{"Q0":"Upper middle class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,4538,survey-multi-choice,9,40599,0.0-12.0,"{"Q0":"Middle class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,6447,survey-text,10,47046,0.0-13.0,"{"Q0":"Female"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2615,survey-multi-choice,11,49664,0.0-14.0,"{"Q0":"18 - 25 years of age"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,call-function,12,49665,0.0-15.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":1320},{"page_index":1,"viewing_time":5337},{"page_index":2,"viewing_time":1700},{"page_index":3,"viewing_time":1355},{"page_index":4,"viewing_time":1363},{"page_index":5,"viewing_time":1523},{"page_index":6,"viewing_time":2250}]",14848,instructions,13,64513,0.0-16.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,1676,html-keyboard-response,14,66191,0.0-16.0-1.0,NULL,"Are you ready to solve a practice Sudoku? <br><br> Yes, I am ready! (Press C) <br><br> Not yet, I would like to read the rules once again, please! (Press R)",67,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,sudoku_trial,15,68748,0.0-17.0,NULL,NULL,NULL,NULL,boards2x3,d,0,,1
"[{"page_index":0,"viewing_time":1241}]",1241,instructions,16,69989,0.0-18.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,sudoku_trial,17,72252,0.0-19.0,NULL,NULL,NULL,NULL,boards2x3,c,3,,1
NULL,NULL,sudoku_trial,18,74427,0.0-20.0,NULL,NULL,NULL,NULL,boards2x3,b,0,,1
NULL,NULL,sudoku_trial,19,76464,0.0-21.0,NULL,NULL,NULL,NULL,boards2x3,b,4,,1
NULL,NULL,sudoku_trial,20,78247,0.0-22.0,NULL,NULL,NULL,NULL,boards2x3,a,3,,1
